Question 1.3
size 20


c 1863476401
Points and their infos
i 305608643 305608636 2268
i 1704951199 448446783 12174
i 265070014 265070016 1721
i 813447664 26265189 206249
i 3070145577 442900848 48874
i 1831836303 651391307 449
i 295818186 1667343001 3622
i 1303892698 302662804 16342
i 503691365 1647031035 31557
i 264586353 264586398 7751
i 2119565507 1775824543 64840
i 310362996 310362673 8367
i 2166716440 846241866 2115
i 26265254 2101408800 14530
i 2618816480 722898370 11034
i 1229670310 95129287 40791
i 3336912235 3336912237 2881
i 1128238633 946197433 72545
i 1934032352 279851822 7829
i 1992285948 973869753 6873
