Question 1.1
size 189


c 298251056
Points and their infos
i 1613999383 1613999377 1022
i 1625630597 1625630551 765
i 3066613318 3066613321 805
i 1645440592 1645440591 968
i 3990694041 3990694043 607
i 1845036206 1845036207 783
i 1082803810 1674257164 2393
i 2140047938 2140047939 1325
i 1636457711 1241674105 1965
i 960134981 2213401506 2425
i 2235157284 2235157281 635
i 1375481359 1375481358 2050
i 1116191857 1218987976 3356
i 1835317163 1835317156 1573
i 1507165964 2232499126 763
i 1769680152 1674257131 4967
i 1613999365 1613999352 2761
i 1511882836 1511882828 3248
i 345805321 429422821 1314
i 1507150854 1507150852 457
i 1613999366 1613999348 3793
i 1241043637 1241043883 20339
i 1112576456 1112576508 2096
i 1040049996 2315314132 85
i 2194449423 3040021416 18236
i 429423551 429422818 341
i 1613999436 1613999449 3624
i 345807097 345807098 3277
i 3677215007 3677215012 3300
i 1157373171 2829388240 971
i 2830281879 2830281870 783
i 2829445395 2829445396 5148
i 2952728780 2952728781 1420
i 429422796 429422797 4519
i 1393435827 3825189279 826
i 1865329800 1865329814 28
i 1864682903 4228172712 4602
i 2265661125 2265661126 625
i 1393435896 1393435914 489
i 884488191 884488094 164
i 1613999366 1613999369 3793
i 2493410436 2493410437 1349
i 1532630873 1532631046 17593
i 2829455928 2829455927 1364
i 345804109 913158419 5
i 2952829145 2952829144 1482
i 3869618691 3869618688 3190
i 282057034 1577456135 5117
i 3124678034 3124678112 4325
i 436356926 513893013 9452
i 1240723516 1240723601 6
i 965249393 1532630720 5388
i 2829388258 3635589733 3378
i 1879667350 433717349 315
i 1835629962 1835629946 2743
i 2831036532 2127724653 6706
i 3221658999 3221658998 6206
i 3869618690 3869618689 429
i 1509836454 1509836425 7640
i 1509836074 2472432322 7602
i 2235157061 2235157082 1342
i 1113886705 1113885895 1206
i 3066613317 3066613320 91
i 1507156359 1507156358 250
i 884488531 2475149932 2933
i 1625628413 1625628395 191
i 429422832 345804577 1532
i 345805589 429422822 2365
i 1879667279 1879667326 369
i 3066613303 416906095 1626
i 317664506 385591356 2540
i 1625628910 1625628872 1701
i 2472393345 2472393347 1411
i 1157373207 1157373243 8691
i 2271150094 2271150083 61
i 1627964232 1627964247 385
i 1347649705 289434813 300
i 1771578459 1771578458 1082
i 289433502 2140048027 303
i 1657554753 1657554754 2117
i 289433502 289434849 303
i 918192558 1625629376 2836
i 3833078952 234898504 16651
i 433717340 1105912628 24009
i 1844482601 1844482604 966
i 639048913 639048911 3919
i 2829586998 1983403729 25101
i 639048902 639048904 5613
i 3097001136 3097001135 2002
i 912006391 345805585 969
i 1108417235 1108417154 1521
i 1507150838 1507150837 3510
i 2468955474 2468955483 279
i 2140047993 2140047991 873
i 1157373231 1157373178 1054
i 1029563040 1029563195 1191
i 2235157376 512653497 4288
i 429572204 1835317142 55
i 1879667350 1879667357 315
i 2963750095 2963750094 562
i 3990694025 2140047998 163
i 1108416935 513893016 755
i 3869618690 991750482 429
i 2472393355 2472393353 2317
i 2829592205 2829592062 1481
i 3677215151 1030618271 14416
i 429423551 345805324 341
i 1108416874 1112576667 2913
i 2472393345 2472393349 1411
i 2829589758 2829589370 401
i 345804632 1836242937 2080
i 2475149935 2475149934 212
i 2147998566 2147998563 1172
i 429572201 1835317183 694
i 3838771634 264982447 1541
i 1375198480 1375198496 4168
i 1509836368 1509836364 389
i 2235157038 2235157003 1078
i 1509674100 1509674103 720
i 2829587759 2829587687 1435
i 2829589758 2829589380 401
i 131839215 1863760857 1720
i 1507156363 1507156366 1669
i 2829587759 2829587988 1435
i 2639879613 416886847 35218
i 1874298939 1874298900 10729
i 2140047943 2140047942 1672
i 1241674182 1241674083 4446
i 289433060 289432785 2748
i 1532630883 1532630887 2187
i 2829445394 431621342 5531
i 513878289 3234738537 1274
i 1532630854 1532631055 5422
i 1240723558 1240723451 609
i 1082803940 1082803927 593
i 1030618365 1082803782 1756
i 291578916 291578917 1562
i 918168625 1968937848 5553
i 1636457522 1507180357 12539
i 1625629069 1625629203 465
i 3124678063 3124678056 2680
i 1625629590 1625629531 259
i 2187481876 2187481855 266
i 2829589733 2829589958 643
i 3616191564 3616191571 6104
i 1241043740 1241043650 17393
i 2147998432 2147998440 925
i 1833099508 1833099460 17411
i 2140048020 2140048007 36
i 2265661119 2265661116 7430
i 1082803774 1082803988 4613
i 319062730 319062726 131
i 1402620941 30846633 805
i 1625629069 1625629253 465
i 640212638 640212642 2670
i 1614006222 1614006221 2613
i 2829456189 2829455995 9438
i 2829455929 2829455930 1992
i 1082803875 1082803715 5603
i 1577456246 1577456254 851
i 2129493950 1082803934 1583
i 2140127261 1627964207 4915
i 1036351601 1036351368 1596
i 1036351829 1036351045 1509
i 1509836098 1509836103 1248
i 1845036153 1845036148 1885
i 2140047984 2140047982 605
i 639048925 639048926 9119
i 2952728777 292394433 6827
i 1863502315 433717350 1633
i 1626253651 1626253648 1534
i 1507156322 1507156334 5622
i 1036351331 1036352110 7206
i 1865329915 1865329982 3633
i 1334689072 1334688994 3014
i 1082803973 1082803821 6191
i 726898769 726898768 9842
i 2476238658 2476238659 198
i 1874290554 1874290575 173
i 1508835235 1508835223 6116
i 461672515 462112218 12762
i 1761927224 1761927249 4015
i 1936551972 1936551827 6392
i 513889461 513889460 1069
i 1507150596 1507150598 7355
i 267002307 1028277181 2447
i 538945557 2194449402 649
i 2731215006 234898585 1712
i 1113918202 418620343 1034
